epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,17056.7,0.38226,0.27869,0.86343,0.64375,0.48067,0.5189,0.35064,0.88884,0.60592,1.09517,0.005017,0.005017,0.005017
153,17169.4,0.38259,0.27887,0.86398,0.60193,0.50291,0.52018,0.35125,0.88705,0.60524,1.09446,0.004984,0.004984,0.004984
154,17281.2,0.37947,0.27739,0.86595,0.59953,0.49526,0.51904,0.35193,0.8856,0.60791,1.09264,0.004951,0.004951,0.004951
155,17393.7,0.3833,0.27994,0.86621,0.66239,0.48731,0.5223,0.35031,0.88462,0.60534,1.09168,0.004918,0.004918,0.004918
156,17505.3,0.37441,0.27517,0.86229,0.60408,0.49511,0.52433,0.35243,0.88302,0.60244,1.09154,0.004885,0.004885,0.004885
157,17617.9,0.37413,0.27614,0.86394,0.60352,0.50163,0.5232,0.35209,0.8838,0.60533,1.08873,0.004852,0.004852,0.004852
158,17729.5,0.37254,0.2746,0.86277,0.64088,0.49469,0.52641,0.35452,0.88291,0.60557,1.08843,0.004819,0.004819,0.004819
159,17842.3,0.37614,0.27786,0.86179,0.63076,0.50324,0.52456,0.35406,0.88221,0.60447,1.08782,0.004786,0.004786,0.004786
160,17954,0.37671,0.27497,0.86199,0.65903,0.48883,0.52226,0.35526,0.88328,0.60342,1.08991,0.004753,0.004753,0.004753
161,18066.5,0.3763,0.27433,0.86288,0.63546,0.49804,0.52458,0.35432,0.8854,0.60369,1.09203,0.00472,0.00472,0.00472
162,18178.3,0.37249,0.27119,0.86187,0.66293,0.49024,0.52367,0.35455,0.88402,0.60052,1.08924,0.004687,0.004687,0.004687
163,18290.8,0.37341,0.26963,0.86102,0.65345,0.49144,0.52676,0.35524,0.8837,0.59966,1.08777,0.004654,0.004654,0.004654
164,18402.6,0.37444,0.27318,0.86157,0.64281,0.49194,0.5267,0.35516,0.88408,0.60129,1.08815,0.004621,0.004621,0.004621
165,18515.1,0.36756,0.26865,0.85984,0.67307,0.48679,0.52977,0.35599,0.88492,0.59749,1.0906,0.004588,0.004588,0.004588
166,18626.8,0.37539,0.28368,0.86356,0.67228,0.48752,0.52958,0.35565,0.88158,0.59226,1.08984,0.004555,0.004555,0.004555
167,18739.4,0.3674,0.27094,0.86078,0.5931,0.51138,0.53046,0.3586,0.88022,0.59406,1.0891,0.004522,0.004522,0.004522
168,18851,0.36443,0.26751,0.85716,0.63007,0.49628,0.5288,0.35699,0.87911,0.59541,1.08743,0.004489,0.004489,0.004489
169,18963.8,0.36719,0.26684,0.86016,0.62923,0.49558,0.52949,0.35754,0.8818,0.59615,1.08965,0.004456,0.004456,0.004456
170,19075.5,0.36468,0.26727,0.85934,0.60716,0.50517,0.52665,0.35544,0.8835,0.59597,1.09175,0.004423,0.004423,0.004423
171,19188,0.37265,0.27285,0.86299,0.63344,0.49136,0.5269,0.35592,0.88128,0.59451,1.09056,0.00439,0.00439,0.00439
172,19299.5,0.367,0.26777,0.8607,0.61227,0.49947,0.5272,0.35614,0.88268,0.59447,1.09079,0.004357,0.004357,0.004357
173,19412,0.36383,0.2665,0.85848,0.59808,0.51248,0.52956,0.35746,0.88059,0.59253,1.08789,0.004324,0.004324,0.004324
174,19523.8,0.36129,0.26247,0.85638,0.60754,0.50431,0.52949,0.35693,0.88038,0.59272,1.08754,0.004291,0.004291,0.004291
175,19636.8,0.35711,0.25975,0.85523,0.60453,0.51025,0.53187,0.3582,0.87826,0.59108,1.08641,0.004258,0.004258,0.004258
176,19748.5,0.35913,0.26298,0.85562,0.63515,0.50674,0.53471,0.35996,0.87733,0.59129,1.08581,0.004225,0.004225,0.004225
177,19861.1,0.3601,0.26618,0.85917,0.65456,0.49888,0.53642,0.36068,0.87487,0.59248,1.08333,0.004192,0.004192,0.004192
178,19972.9,0.35776,0.26172,0.85873,0.63888,0.49704,0.53717,0.36054,0.87523,0.59331,1.083,0.004159,0.004159,0.004159
179,20085.5,0.35221,0.25738,0.852,0.72633,0.47461,0.53328,0.35947,0.87654,0.59402,1.08432,0.004126,0.004126,0.004126
180,20197,0.3576,0.26022,0.8551,0.66852,0.48434,0.53383,0.36061,0.87499,0.59128,1.08281,0.004093,0.004093,0.004093
181,20309.6,0.35484,0.2575,0.85496,0.62367,0.50147,0.53509,0.36101,0.87454,0.58865,1.08083,0.00406,0.00406,0.00406
182,20421.2,0.35388,0.25631,0.85536,0.62827,0.5021,0.53464,0.36034,0.87596,0.58901,1.08253,0.004027,0.004027,0.004027
